F_h,h
0.0858754,-36584.7
0.0862431,-36565.7
0.0865686,-36546.7
0.0868881,-36527.7
0.0872053,-36508.6
0.0875213,-36489.6
0.0878358,-36470.6
0.0881488,-36451.6
0.0884621,-36432.6
0.0887754,-36413.6
0.0890874,-36394.5
0.0893989,-36375.5
0.0897109,-36356.5
0.090022,-36337.5
0.0903327,-36318.5
0.0906442,-36299.5
0.0909563,-36280.5
0.0912677,-36261.4
0.0915791,-36242.4
0.0918893,-36223.4
0.0922008,-36204.4
0.0925119,-36185.4
0.0928231,-36166.4
0.0931348,-36147.3
0.0934461,-36128.3
0.0937585,-36109.3
0.0940694,-36090.3
0.094382,-36071.3
0.0946937,-36052.3
0.0950049,-36033.2
0.0953179,-36014.2
0.0956306,-35995.2
0.0959429,-35976.2
0.0962555,-35957.2
0.0965686,-35938.2
0.0968811,-35919.2
0.0971944,-35900.1
0.0975081,-35881.1
0.097822,-35862.1
0.0981357,-35843.1
0.0984492,-35824.1
0.0987629,-35805.1
0.0990774,-35786
0.0993925,-35767
0.0997063,-35748
0.100022,-35729
0.100337,-35710
0.100652,-35691
0.100967,-35672
0.101283,-35652.9
0.1016,-35633.9
0.101916,-35614.9
0.102232,-35595.9
0.102549,-35576.9
0.102865,-35557.9
0.103182,-35538.8
0.103499,-35519.8
0.103817,-35500.8
0.104135,-35481.8
0.104452,-35462.8
0.104772,-35443.8
0.105089,-35424.8
0.105407,-35405.7
0.105725,-35386.7
0.106045,-35367.7
0.106364,-35348.7
0.106683,-35329.7
0.107003,-35310.7
0.107323,-35291.6
0.107642,-35272.6
0.107962,-35253.6
0.108284,-35234.6
0.108604,-35215.6
0.108924,-35196.6
0.109246,-35177.5
0.109568,-35158.5
0.109889,-35139.5
0.110211,-35120.5
0.110534,-35101.5
0.110855,-35082.5
0.111179,-35063.5
0.111501,-35044.4
0.111824,-35025.4
0.112147,-35006.4
0.112471,-34987.4
0.112794,-34968.4
0.113117,-34949.4
0.113442,-34930.3
0.113767,-34911.3
0.114092,-34892.3
0.114416,-34873.3
0.114741,-34854.3
0.115067,-34835.3
0.115392,-34816.2
0.115718,-34797.2
0.116044,-34778.2
