loss,count
-36584.7,1665609
-35093.1,125446
-32495.1,63015
-31674.6,74581
-31137.5,92452
-31003.5,13133
-30183,11944
-29716.2,24558
-29645.9,16574
-29627.1,56965
-29438.7,197565
-28224.6,7103
-28135.5,12882
-27947.1,28201
-27792.7,113421
-27585,7032
-27047.9,9618
-26792.7,416672
-26301.1,18754
-26227.4,8776
-26093.4,1900
-25626.6,4512
-25556.3,2776
-25537.5,7612
-25377.9,184202
-25349.1,15552
-25301.1,49157
-24806.1,3593
-24735.8,2273
-24717,6676
-24528.6,15262
-24488.8,12507
-24269,5280
-24224.7,175666
-24179.9,9177
-24135,1762
-24045.9,2486
-23991.5,20508
-23886.3,25335
-23857.5,4167
-23703.1,10977
-23346.3,116489
-23314.5,1253
-23225.4,1906
-23037,3546
-22997.2,3628
-22882.6,10087
-22777.4,1803
-22758.6,4414
-22733.1,23619
-22703.1,26390
-22688.3,2674
-22570.2,7459
-22499.9,4806
-22481.1,14761
-22345.5,13846
-22335.4,148632
-22211.5,3096
-22137.8,1384
-22119.4,198349
-21882.6,27783
-21854.7,21905
-21391,2506
-21345.5,36080
-21288.3,14164
-21267,1736
-21211.5,6477
-21078.6,2480
-20989.5,4114
-20924.2,5624
-20853.9,3513
-20843.8,21821
-20835.1,10313
-20716.5,861
-20646.7,23912
-20646.2,533
-20627.8,29247
-20627.4,1250
-20467.8,14136
-20439,2093
-20399.2,2278
-20391,5480
-20179.4,1237
-20135.1,13046
-20090.3,1761
-19930.7,18472
-19924.2,12272
-19901.9,2929
-19853.9,7629
-19835.1,24825
-19796.7,3730
-19646.7,68788
-19578.7,1760
-19432.6,2015
-19358.9,831
-19343.5,3046
-19314.6,13134
-19269.8,1352
-19256.7,12730
-19224.9,332
-19155.1,5329
-19135.8,419
-19081.4,2407
-19041.6,2631
-18976.2,2941
-18947.4,683
-18907.6,845
-18793,1581
-18777.5,17427
-18687.8,459
-18669,1106
-18643.5,3401
-18598.7,701
-18509.4,6740
-18480.6,1590
-18439.1,4300
-18436.2,11625
-18432.6,3826
-18420.3,13248
-18410.3,982
-18391.5,2494
-18343.5,6281
-18255.9,2164
-18245.8,12183
-18231.9,34289
-18155.1,12300
-18087.1,591
-18029.8,16384
-18000.7,42496
-17899.1,15925
-17867.3,349
-17848.5,819
-17823,2813
-17793,3414
-17778.2,514
-17765.1,3596
-17660.1,1225
-17620.3,1591
-17589.8,728
-17571,2040
-17550,916
-17531.2,2272
-17435.4,1787
-17425.3,12208
-17356.2,6234
-17342.8,3733
-17311.4,1247
-17301.4,485
-17285.9,3956
-17267.1,12148
-17255.9,4595
-17209.3,16228
-17177.4,518
-17123,1760
-17078.7,31896
-17033.9,2869
-17017.8,2240
-16989,677
-16944.6,2883
-16928.7,3567
-16899.9,934
-16888.2,16119
-16834.6,1325
-16764.3,786
-16754.2,3381
-16745.5,1923
-16740.3,6794
-16672.2,21186
-16585.9,21867
-16557.1,3370
-16538.2,4383
-16509.1,8746
-16477.8,6850
-16435.4,4027
-16407.5,4195
-16388.7,12090
-16378.2,1835
-16356.9,384
-16301.4,1032
-16200.3,26578
-16168.5,500
-16128.7,646
-16079.4,640
-16039.6,891
-16014.1,946
-15943.8,584
-15933.7,2652
-15925,1485
-15864.6,2070
-15851.2,1308
-15841.1,2659
-15834.6,2529
-15819.8,557
-15775.5,3306
-15764.3,1490
-15745.5,3835
-15736.6,2737
-15717.7,3692
-15696.8,2847
-15631.4,705
-15612.6,1615
-15587.1,6194
-15585.9,62815
-15557.1,7370
-15542.3,992
-15489.1,437
-15477,1417
-15466.9,6135
-15432.7,20493
-15396.6,3767
-15387.9,2166
-15377.8,11608
-15343,595
-15269.3,245
-15253.9,693
-15250.9,8221
-15225,1673
-15199.5,3735
-15189.4,28688
-15180.6,5177
-15180.2,291
-15161.8,15504
-15094.3,4594
-15065.5,1104
-15020.6,2231
-15014.1,1869
-14991.8,450
-14986.2,2426
-14973.4,37891
-14952,624
-14943.8,1112
-14925,3209
-14897.1,3603
-14886.6,640
-14736.6,6759
-14708.7,6425
-14696.8,5974
-14687.9,2362
-14554.3,18209
-14522.5,388
-14477,2795
-14433.4,534
-14432.7,59602
-14419.8,1461
-14387.9,4470
-14349.5,844
-14346.6,1870
-14343,983
-14330.7,2181
-14253.9,1367
-14245,780
-14205.2,1001
-14199.5,8979
-14142.3,3888
-14131.5,450
-14121,667
-14094.3,11181
-14065.5,2183
-13997.5,192
-13985.4,582
-13975.3,2060
-13966.6,1287
-13941.1,4514
-13911.1,5235
-13896.3,759
-13886.2,3161
-13867.4,2077
-13809.5,2518
-13778.2,1947
-13777.7,121
-13759.3,2764
-13758.9,230
-13733.4,543
-13707.9,1190
-13697.8,5924
-13689.1,3209
-13688.6,140
-13670.2,4180
-13599.3,1092
-13570.5,309
-13554.3,46319
-13543.4,18636
-13530.7,439
-13529,669
-13522.5,719
-13510.2,1889
-13500.2,198
-13481.8,7877
-13481.4,447
-13460.4,267
-13441.6,557
-13433.4,1001
-13345.8,361
-13335.7,1713
-13327.4,24791
-13321.8,3489
-13282,3345
-13266.6,1351
-13253.2,872
-13245,1742
-13221.8,372
-13205.2,1918
-13196.3,798
-13177.5,2060
-13119.7,2260
-13090.6,4481
-13062.7,4691
-13062.2,1589
-13033.4,500
-13017.9,29327
-12989.1,3683
-12989,2215
-12985.4,1066
-12973.1,2514
-12966.6,2469
-12944.3,641
-12941.1,10461
-12928.2,653
-12896.3,1505
-12855,645
-12839.1,820
-12798.6,2240
-12784.7,5010
-12778.2,3818
-12710.2,326
-12707.9,2394
-12689.1,6840
-12650.7,1176
-12639.9,194
-12621.1,398
-12582.6,3161
-12553.5,6335
-12543.4,52737
-12496.3,2921
-12475,561
-12446.1,1015
-12432.7,616
-12419.5,1617
-12401.3,271
-12388.2,1610
-12375.8,574
-12357,1648
-12345.8,729
-12327.4,70287
-12317.9,1037
-12299.1,2409
-12286.6,752
-12267.3,119
-12212.9,334
-12197.5,1077
-12173.1,456
-12168.6,3252
-12139.5,23970
-12128.8,3124
-12123.8,458
-12110.7,3894
-12107.7,447
-12084,628
-12078.9,152
-12062.7,10367
-12051.8,4269
-12039.1,264
-12018.6,624
-11989.8,200
-11978.1,1986
-11950,261
-11924.5,287
-11909,1499
-11895.6,854
-11854.2,167
-11844.1,549
-11835.8,5803
-11835.4,363
-11830.2,950
-11819.9,2322
-11790.4,1131
-11775,527
-11762.1,2625
-11761.6,346
-11730.2,199
-11685.9,766
-11675.8,2454
-11647,516
-11631.5,4474
-11628.1,716
-11607.2,736
-11599,1267
-11570.6,629
-11567.7,1153
-11551.8,1413
-11541.8,229
-11526.3,5530
-11523,482
-11497.5,1098
-11497.4,748
-11496.3,6460
-11481.5,876
-11478.6,1823
-11475,989
-11452.7,250
-11387.4,365
-11377.3,1320
-11363.4,2300
-11343.1,2599
-11307,778
-11298.3,503
-11293.1,1362
-11290.2,3222
-11288.2,2022
-11286.6,1374
-11274.3,3748
-11250.4,3501
-11218.6,149
-11197.5,2166
-11161.3,1780
-11138.7,3575
-11132.2,3000
-11129.5,175
-11128.6,26160
-11109.9,723
-11099.8,3524
-11091,1112
-11072.2,2745
-11061.9,1857
-11051.8,9943
-11043.1,5081
-11030.6,1782
-11004.7,951
-10986.3,22525
-10954.5,365
-10941.5,2635
-10941.1,220
-10931,411
-10924.5,502
-10912.6,35030
-10909.7,117
-10896.6,654
-10883.8,4873
-10865.4,524
-10854.7,10268
-10854.2,259
-10835.8,13188
-10835.4,655
-10807.5,951
-10786.7,456
-10753.1,4530
-10721.3,161
-10702.5,349
-10681.5,204
-10677,880
-10675.8,5927
-10662.7,465
-10647.9,5722
-10647,1058
-10637.2,1026
-10632.2,187
-10619.1,1369
-10607.2,1302
-10592.4,288
-10566.9,291
-10556.8,1021
-10522.6,2267
-10486.5,596
-10477.8,354
-10474.3,630
-10467.7,1557
-10464.7,2938
-10432.9,125
-10417.4,622
-10404,378
-10398.6,1315
-10387.4,704
-10385.2,851
-10343.8,156
-10343.1,6079
-10340.8,1326
-10328.3,772
-10298.3,1019
-10289.4,595
-10279.3,3006
-10270.5,773
-10251.7,2138
-10249.6,764
-10239.5,3055
-10210.2,2134
-10184.2,724
-10165.4,466
-10155.4,214
-10139.9,1279
-10138.7,7943
-10121.1,3522
-10115.6,283
-10109.9,1526
-10076.1,475
-10063.3,4012
-10060.2,565
-10041.9,123
-10031.4,236
-10023.5,4078
-10019.7,1479
-10004.7,1881
-9987,627
-9985.5,3297
-9975.4,24624
-9930.6,2314
-9895.8,204
-9885.7,590
-9877,381
-9871.8,900
-9851.5,860
-9806.7,233
-9803.7,1892
-9798.6,1023
-9796.6,743
-9786.7,997
-9782.7,1229
-9777.8,418
-9759.4,32826
-9758.8,1273
-9742.2,4296
-9717.4,1702
-9714.6,3006
-9688.6,497
-9669.7,755
-9647.1,1058
-9644.2,2392
-9640.6,1157
-9637,5502
-9628.3,2760
-9618.3,331
-9608.2,1115
-9599.5,663
-9580.6,1018
-9566.9,491
-9551.5,1617
-9539,750
-9526.2,5898
-9522.6,5667
-9520.2,1672
-9509.7,287
-9494.7,5256
-9477.8,778
-9464.7,6160
-9453.8,2680
-9449.9,979
-9439.9,5580
-9439.4,167
-9432.9,206
-9421,7152
-9420.6,404
-9392.2,1472
-9363.1,2681
-9343.8,294
-9331.8,2435
-9295.1,218
-9289.4,1249
-9261.5,1395
-9249.6,1403
-9242.7,3837
-9237.8,3505
-9232.2,588
-9210.9,178
-9192.4,811
-9184.2,1536
-9171.1,227
-9155.4,392
-9115.6,497
-9107.1,3402
-9097,20723
-9075.3,118
-9065.2,404
-9056.5,284
-9031,674
-9001,827
-8986.2,164
-8985.5,7578
-8982.7,281
-8976.1,548
-8973.1,1102
-8972.6,391
-8928.3,3306
-8907,571
-8899.4,463
-8895.8,334
-8893.6,362
-8883.5,577
-8881,27730
-8877,673
-8868.1,358
-8851.5,1710
-8849.2,542
-8828.3,532
-8806.7,372
-8797.8,221
-8787.7,877
-8779,544
-8760.1,734
-8758,298
-8747.9,1067
-8739.2,690
-8718.6,794
-8717.4,3542
-8695.1,846
-8688.6,956
-8673.8,266
-8647.1,2195
-8644.2,5361
-8633.3,2240
-8629.5,1117
-8628.3,6297
-8620.6,110
-8618.3,565
-8599.5,1338
-8571.7,1134
-8564.2,1578
-8550.8,1033
-8550.3,70
-8531.9,1372
-8531.5,132
-8528.1,558
-8519.4,406
-8509.3,1358
-8493.9,960
-8483.8,4937
-8475.1,2559
-8463.9,1171
-8453.8,5757
-8439.9,13794
-8439,809
-8417.3,2911
-8385.4,209
-8371.9,526
-8356.5,237
-8343.1,159
-8331,543
-8320.9,2106
-8312.1,770
-8311.7,102
-8295.1,395
-8293.3,1851
-8286.7,5143
-8286.2,158
-8267.8,6566
-8267.4,359
-8250.6,1332
-8241.9,737
-8237.8,7808
-8231.8,3433
-8225.8,663
-8223,1073
-8197,246
-8152.6,771
-8152.1,272
-8136.7,914
-8123.3,119
-8107.9,302
-8107.8,2983
-8107.1,7323
-8104.9,2757
-8096.2,3077
-8083.5,162
-8079,533
-8075.3,218
-8063,412
-8056.5,494
-8049.9,3526
-8039.2,677
-8034.6,1680
-8034.2,139
-8031,1387
-8028.6,696
-8018.1,152
-8015.8,4650
-7994.4,201
-7986.2,280
-7973.1,1927
-7962.2,861
-7948.3,1525
-7929,173
-7888.5,368
-7880.2,4124
-7874.6,665
-7870.1,29808
-7868.1,691
-7840.2,968
-7834.8,791
-7828.3,930
-7819.4,401
-7806,243
-7797.8,423
-7779,1046
-7758,518
-7751.1,1343
-7746.2,1126
-7740.6,216
-7739.2,1263
-7730.3,542
-7700.8,314
-7685.8,1902
-7672.5,511
-7643.4,937
-7633.3,5149
-7615.5,1142
-7605.4,5104
-7596.7,2925
-7586.2,477
-7570.7,4159
-7564.9,130
-7564.2,3144
-7550.8,2035
-7541.9,788
-7519.4,688
-7509.4,297
-7493.9,1972
-7481,205
-7478.1,304
-7475.1,5773
-7462.2,409
-7436.7,1033
-7417.3,6953
-7408.3,5026
-7407.8,193
-7391.9,249
-7389.4,6909
-7389,436
-7385.4,319
-7376.5,158
-7336.7,281
-7331,1038
-7287.4,178
-7286.7,12947
-7273.8,539
-7263,102
-7247.6,281
-7241.9,1538
-7229.4,2918
-7225.8,1211
-7218.7,525
-7203.5,305
-7200.6,676
-7197,432
-7184.7,799
-7173.9,126
-7160.8,805
-7152.6,1506
-7141.7,667
-7136.7,1868
-7129,65
-7107.9,552
-7096.2,7091
-7072.6,639
-7059.2,422
-7049.1,682
-7042.6,813
-7039.9,70
-7039,3252
-7027.8,173
-7017.7,593
-6998.9,296
-6985.5,176
-6983.5,866
-6972.3,411
-6962.2,1716
-6953.5,1076
-6948.3,3280
-6941,488
-6925.7,871
-6909.8,364
-6896.7,3281
-6880.3,212
-6880.2,9470
-6864.9,105
-6851.9,681
-6851.5,75
-6839.4,228
-6829.3,795
-6823,4262
-6820.6,544
-6820.1,52
-6801.7,755
-6795.1,1312
-6793.9,9225
-6775.8,151
-6765.1,1697
-6750.3,310
-6746.2,2377
-6740.2,1087
-6721.4,643
-6697.1,143
-6692.3,4229
-6685.8,3679
-6681.6,797
-6674.9,1576
-6663.5,954
-6660.5,142
-6641.7,281
-6631.7,49
-6616.2,787
-6615.5,2143
-6613.3,1047
-6612.9,102
-6604.6,993
-6596.7,5907
-6591.9,89
-6587.4,191
-6586.2,880
-6585.8,2561
-6573.1,156
-6571.4,158
-6564.9,212
-6558.3,1240
-6547.6,290
-6542.6,75
-6524.2,1469
-6502.8,103
-6477.3,91
-6467.2,248
-6458.9,2068
-6453.3,362
-6433,452
-6413.5,567
-6408.3,11720
-6397.4,4815
-6396.9,155
-6388.6,1212
-6388.2,97
-6384.7,217
-6383,188
-6378.5,6285
-6378.1,342
-6376.5,290
-6369.8,3371
-6364.2,602
-6343.2,306
-6340.3,592
-6336.7,466
-6327.8,192
-6324.4,707
-6314.4,87
-6309,404
-6295.6,220
-6287.4,390
-6251.2,340
-6247.6,548
-6238.7,224
-6228.6,526
-6222.1,577
-6218.5,2749
-6199.8,151
-6194.2,794
-6189.7,552
-6181.4,6499
-6180.9,220
-6162.1,488
-6160,200
-6151.8,362
-6149.9,631
-6149.4,1802
-6141.7,1402
-6136,1106
-6133,816
-6120.6,553
-6120.5,354
-6105.1,1069
-6104.6,428
-6094.6,189
-6079.1,1174
-6076.2,2723
-6075.8,173
-6072.6,1150
-6060.3,3195
-6059.2,731
-6050.3,291
-6049.1,1337
-6031.5,770
-6031.4,468
-6027.8,319
-6002.5,3754
-5986.5,160
-5983.5,1715
-5973.7,715
-5970.6,202
-5944.6,1421
-5933.9,912
-5930.1,436
-5925.7,1848
-5916.7,1525
-5916.2,555
-5904.8,1522
-5897.4,195
-5895.9,629
-5885.8,2966
-5871.9,6851
-5843,748
-5841,558
-5839.4,443
-5827.1,829
-5820.6,993
-5803.2,947
-5795.1,3001
-5782.2,234
-5771.4,68
-5752.6,131
-5750.3,636
-5737.8,843
-5727.1,191
-5714.1,552
-5709,242
-5697.1,264
-5693.1,321
-5685,786
-5682.3,68
-5681.4,3842
-5674.9,3091
-5669.8,3994
-5669.2,374
-5652.6,781
-5640.7,8700
-5627.8,447
-5625,777
-5604.6,1951
-5595.9,1150
-5585.8,5540
-5564.2,145
-5557.5,252
-5554.6,531
-5551,333
-5547.4,927
-5539.1,3890
-5538.7,663
-5507.3,98
-5493.9,74
-5488.5,287
-5477.3,152
-5475.1,153
-5465.4,5260
-5461.9,444
-5458.9,4208
-5449.4,230
-5436.6,1103
-5433,858
-5430.6,502
-5418.2,153
-5407.5,1919
-5405.1,1066
-5397.4,11847
-5388.6,2665
-5388.2,200
-5369.8,7448
-5360.3,316
-5350.3,955
-5339.5,147
-5331.4,1336
-5329.4,482
-5329,243
-5302.3,2371
-5300.1,367
-5273.5,610
-5271,2137
-5260.3,468
-5255.3,108
-5242.2,637
-5229.8,186
-5228.6,1046
-5215.5,168
-5211,538
-5205.5,64
-5200.7,1298
-5199.8,263
-5194.2,1431
-5190,303
-5183.3,626
-5181.9,3387
-5181.4,16075
-5171.9,378
-5171.2,704
-5160,360
-5153.1,857
-5150.1,135
-5121.3,62
-5113.4,658
-5109.6,296
-5105.1,2015
-5094.6,377
-5094.2,850
-5081.5,83
-5075.4,456
-5065.3,2675
-5027.1,176
-5020.5,399
-5017.5,690
-5007.4,3291
-4993.5,6322
-4985.7,50
-4982.8,1012
-4975.6,127
-4967.3,849
-4966.9,86
-4961.7,165
-4951.4,390
-4941.4,158
-4938,283
-4921.9,248
-4916.7,3219
-4905.8,1388
-4896.6,48
-4895.9,1234
-4893.6,361
-4893.1,118
-4886.5,160
-4878.2,1198
-4872.6,239
-4849.3,3465
-4848.7,264
-4832.8,293
-4832.1,641
-4817.4,194
-4807.3,293
-4804.5,522
-4804,134
-4792.3,724
-4791.4,4164
-4778.5,117
-4763,512
-4762.3,8246
-4759.6,171
-4738.7,185
-4737,162
